Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
First United Methodist Church,Yes,1,0.5,0.5,I believe in the causes and know that my giving has an impact on the daily lives of other people that I otherwise would not be able to reach,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,1000,1000,Female,25 - 34,"$90,000 - $99,999",Professional degree,Control
Sierra Club Foundation,Yes,1,0.5,0.5,Because I already know I like their work,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,100,100,Male,18 - 24,"$20,000 - $29,999",4 year degree,Control
Beverly Bootstraps,Yes,1,0.5,0.5,"I like what they do, and my values align with theirs. I also volunteered with them until the pandemic stopped it.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,20,20,Female,45 - 54,"Less than $10,000",Doctorate,Treatment
ASPCA,No,0,NA,0,NA,"because I already donate through my bank account purchases, and I also do monthly sponsors and round up the change on all transactions I make.",No,Agree,4,Strongly disagree,1,2021,5,loyal,200,200,Female,35 - 44,"$100,000 - $149,999",4 year degree,Control
PBS,Yes,1,0.5,0.5,I am a really big fan of PBS. It's genuinely a part of my life.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,5,5,Male,55 - 64,"$30,000 - $39,999",Some college,Treatment
NPR,Yes,1,0.5,0.5,It's important to keep REAL news circulating. I really enjoy NPR,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,40,40,Female,35 - 44,"$10,000 - $19,999",4 year degree,Treatment
The Wetlands Initiative,Yes,1,0.5,0.5,I would have given regardless of the letter because I believe in the work that they are doing. The letter acts as a nudge for me to remember to give.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,100,100,Female,25 - 34,"More than $150,000",Doctorate,Treatment
World Wildlife Fund,No,0,NA,0,NA,I have an ongoing monthly donation with them,No,Neither agree nor disagree,3,Disagree,2,2021,5,loyal,180,180,Female,35 - 44,"Less than $10,000",4 year degree,Treatment
Doctors Without Borders,No,0,NA,0,NA,I want all the money.,No,Agree,4,Strongly disagree,1,2019,4,nonloyal,100,100,Male,35 - 44,"$20,000 - $29,999",4 year degree,Treatment
the Diane Fossey Gorilla Fund,Yes,1,0.1,0.1,Cause I believe in the mission of the fund.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Male,35 - 44,"$10,000 - $19,999",4 year degree,Control
doctors without borders,No,0,NA,0,NA,I am not interested in donating to anything right now.,No,Agree,4,Disagree,2,2018,2,nonloyal,20,20,Male,25 - 34,"$50,000 - $59,999",4 year degree,Control
Oregon Humane Society,No,0,NA,0,NA,I already regularly donate to chosen organizations.,No,Agree,4,Disagree,2,2021,4,loyal,100,100,Male,35 - 44,"$30,000 - $39,999",Some college,Treatment
Donors Choose,No,0,NA,0,NA,"Because an 80c gift isn't enough, and also Donors Choose is a collection of teachers seeking donations, so it complicates things a bit further.",No,Strongly agree,5,Disagree,2,2021,5,loyal,maybe $100?,100,Female,45 - 54,"More than $150,000",Professional degree,Control
saint jude,Yes,1,0.5,0.5,it is a charity that i care very much about,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,35 - 44,"$50,000 - $59,999",High school graduate,Control
Talbot Interfaith Shelter,No,0,NA,0,NA,"I donate goods, such as canned goods and dried food.",No,Agree,4,Strongly disagree,1,2021,2,nonloyal,Lots of canned goods and dried food.,NA,Male,18 - 24,"Less than $10,000",Less than high school,Control
Vietnam Veterans of America,No,0,NA,0,NA,I will donate a larger amount separately,No,Strongly agree,5,Strongly disagree,1,2021,4,loyal,250,250,Male,45 - 54,"More than $150,000",Professional degree,Treatment
Navajo Water Project,No,0,NA,0,NA,Because I would rather donate to them myself,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,10,10,Non-binary/third gender,18 - 24,"Less than $10,000",Some college,Treatment
Brave Space Alliance,Yes,1,0.3,0.3,I haven't donated to Brave Space Alliance in a while and really do like to support their work whenever I can.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,20,20,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
Norwescap,Yes,1,0.3,0.3,"I have worked for Norwescap before, so I know the people they are serving, and I trust my money will go to the right place.",NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,20,20,Female,18 - 24,"$10,000 - $19,999",4 year degree,Treatment
Purple Heart,Yes,1,0.3,0.3,I chose to give because Purple Heart helps people who are less fortunate than myself.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,200,200,Female,65 - 74,"$100,000 - $149,999",2 year degree,Treatment
ASPCA,Yes,1,0.5,0.5,They need the money more than me,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,200,200,Female,25 - 34,"$60,000 - $69,999",4 year degree,Control
United Way,No,0,NA,0,NA,I will do it by myself.,No,Agree,4,Disagree,2,2021,4,loyal,15,15,Female,18 - 24,"$50,000 - $59,999",Professional degree,Treatment
Toys for tots,No,0,NA,0,NA,Low on funds currently and I need every dime.,No,Agree,4,Disagree,2,2018,1,nonloyal,10,10,Female,18 - 24,"$30,000 - $39,999",Some college,Treatment
The HOPE Program,Yes,1,0.3,0.3,"I respect the organization, and I have a personal connection to it.",NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,50,50,Female,25 - 34,"$20,000 - $29,999",4 year degree,Control
HB,Yes,1,0.2,0.2,To help HB serve its patients.,NA,NA,Agree,4,Neither agree nor disagree,3,2021,2,nonloyal,50,50,Female,25 - 34,"$20,000 - $29,999",Doctorate,Control
Goodwill,No,0,NA,0,NA,I give on my own,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Male,35 - 44,"$100,000 - $149,999",Some college,Control
World Wildlife Fund,Yes,1,0.5,0.5,I have given to this organization in the past and trust their work.,NA,NA,Neither agree nor disagree,3,Disagree,2,2020,3,nonloyal,200,200,Female,45 - 54,"$40,000 - $49,999",4 year degree,Treatment
breast cancer foundation,Yes,1,0.2,0.2,because its the right thing to do,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,25 - 34,"$90,000 - $99,999",4 year degree,Control
The Tanzie Project,Yes,1,0.5,0.5,I trust this organization and believe in their mission. I'm certain my donation is put to the highest and best use to protect the welfare of animals,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,350,350,Male,35 - 44,"$70,000 - $79,999",Professional degree,Control
American Red Cross,No,0,NA,0,NA,I do not have money and my bank is negative right now,No,Agree,4,Neither agree nor disagree,3,2019,2,nonloyal,50,50,Female,18 - 24,"Less than $10,000",2 year degree,Treatment
Sunflower Bakery,No,0,NA,0,NA,I've already given a substantial amount this year,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,45 - 54,"More than $150,000",Professional degree,Treatment
Wags and Whiskers Animal Rescue,Yes,1,0.5,0.5,The organization really needs help right now and I really believe in the work they do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,20,20,Female,25 - 34,"$50,000 - $59,999",4 year degree,Control
ASPCA,Yes,1,0.5,0.5,"I believe the ASPCA is a worthwhile cause, and I love animals",NA,NA,Agree,4,Disagree,2,2021,5,loyal,100,100,Male,35 - 44,"$30,000 - $39,999",High school graduate,Control
science club for girls,No,0,NA,0,NA,i'll give a larger amount directly myself,No,Agree,4,Disagree,2,2021,1,nonloyal,200,200,Female,35 - 44,"$60,000 - $69,999",2 year degree,Treatment
Circle of Hope,No,0,NA,0,NA,"I have already given enough to the organization for the time being, and my budget is tighter than it used to be.",No,Agree,4,Neither agree nor disagree,3,2018,1,nonloyal,200,200,Male,18 - 24,"$60,000 - $69,999",4 year degree,Control
GiveWell,Yes,1,0.5,0.5,They need the money more than I do,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,250,250,Male,18 - 24,"Less than $10,000",Some college,Treatment
AAPI Fund,Yes,1,0.5,0.5,"I wanted to, it would feel weird to keep it.",NA,NA,Strongly agree,5,Disagree,2,2021,2,nonloyal,50,50,Female,35 - 44,"$30,000 - $39,999",4 year degree,Treatment
"""Union of Concerned Scientists""",Yes,1,0.5,0.5,It's important and necessary.,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,Not certain,NA,Male,35 - 44,"$60,000 - $69,999",4 year degree,Control
Audre Lorde Project,Yes,1,0.2,0.2,Because I support the work they do,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,50,50,Female,18 - 24,"$50,000 - $59,999",4 year degree,Control
Goodwill,Yes,1,0.1,0.1,I have been blessed and I wish to give to organizations that help others.,NA,NA,Agree,4,Disagree,2,2019,2,nonloyal,200,200,Female,35 - 44,"Less than $10,000",Professional degree,Control
St. Jude,Yes,1,0.5,0.5,I feel bad for children with cancer,NA,NA,Strongly agree,5,Disagree,2,2018,2,nonloyal,50,50,Female,18 - 24,"Less than $10,000",Some college,Treatment
Project Pinball,Yes,1,0.3,0.3,"I support the charity, I believe that they make a difference in children's lives and want to continue to support them.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,200,200,Male,45 - 54,"$90,000 - $99,999",4 year degree,Treatment
Detroit Dog Rescue,Yes,1,0.5,0.5,They do great work and I support them as much as possible.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,45 - 54,"$100,000 - $149,999",Professional degree,Treatment
The Minnesota Freedom Fund,No,0,NA,0,NA,because my financial situation is a lot tighter now than it was when I was actively giving money to charity.,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,500,500,Non-binary/third gender,25 - 34,"$40,000 - $49,999",4 year degree,Control
St jude's,Yes,1,0.3,0.3,Because it supports an important program and cause,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,20,20,Female,25 - 34,"$40,000 - $49,999",2 year degree,Treatment
Be A Light Inc,Yes,1,0.2,0.2,"It's good to help others in need, and Be A Light do help people in need.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,100,100,Male,35 - 44,"$70,000 - $79,999",4 year degree,Treatment
Haven of Rest,No,0,NA,0,NA,I can give on my own without a middle person,No,Agree,4,Disagree,2,2021,3,loyal,2000,2000,Female,65 - 74,"$30,000 - $39,999",Some college,Control
March of Dimes,Yes,1,0.5,0.5,Because March of dimes supports babies who are premature. My son was 2 months early,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,35 - 44,"$10,000 - $19,999",Professional degree,Treatment
PlanetAid,Yes,1,0.5,0.5,"because plantaid aides in helping the world and not just local with clothing donations, household misc donations. Not just money donations, so I'd be happy to help with a money donation this time.",NA,NA,Strongly agree,5,Strongly disagree,1,2020,4,nonloyal,Around $25 per year with clothing donations,25,Female,45 - 54,"$30,000 - $39,999",2 year degree,Treatment
Special Olympics,Yes,1,0.1,0.1,the letter seemed timely and relevant to SO's mission especially given the pandemic,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,100,100,Male,35 - 44,"$70,000 - $79,999",Professional degree,Control
St. Jude's,Yes,1,0.5,0.5,I want to help those that benefit from the charity,NA,NA,Strongly agree,5,Disagree,2,2021,2,nonloyal,200,200,Male,25 - 34,"$50,000 - $59,999",4 year degree,Treatment
The Trevor Project,Yes,1,0.1,0.1,Because I support the work they do.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,10,10,Male,18 - 24,"$70,000 - $79,999",4 year degree,Treatment
american foundation for suicide prevention,Yes,1,0.1,0.1,i donate to a different charity every month,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,18 - 24,"$10,000 - $19,999",High school graduate,Control
Open Medicine Foundation,No,0,NA,0,NA,I already have recurring monthly donations of $5 set up with the foundation.,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,30,30,Female,18 - 24,"Less than $10,000",Some college,Treatment
St Judes Childrens Hospital,Yes,1,0.1,0.1,Because it is what we should do if we are blessed with money,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,100,100,Male,55 - 64,"Less than $10,000",Some college,Treatment
st.judes,Yes,1,0.1,0.1,I like donating to st. judes because they help,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Male,25 - 34,"$20,000 - $29,999",Some college,Treatment
Trinity School,Yes,1,0.5,0.5,0.5,NA,NA,Neither agree nor disagree,3,Disagree,2,2021,5,loyal,450,450,Male,45 - 54,"$100,000 - $149,999",4 year degree,Treatment
St. Jude's,No,0,NA,0,NA,Too small.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Male,65 - 74,"$40,000 - $49,999",4 year degree,Control
red cross,Yes,1,0.5,0.5,I trust the organizations purpose,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Female,35 - 44,"$90,000 - $99,999",High school graduate,Treatment
Rancho Relaxo,No,0,NA,0,NA,It is barely any money and it wouldn't make a difference.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,18 - 24,"$30,000 - $39,999",4 year degree,Control
Meals on Wheels,No,0,NA,0,NA,"If I was going to donate, I would rather do it out of my own pocket so I can claim the tax deduction",No,Agree,4,Disagree,2,2021,2,nonloyal,200,200,Male,25 - 34,"More than $150,000",4 year degree,Control
fireman association,No,0,NA,0,NA,I'm unemployed and I do not have the money to do so,No,Agree,4,Disagree,2,2019,2,nonloyal,20,20,Female,45 - 54,"Less than $10,000",4 year degree,Treatment
ASPCA,Yes,1,0.5,0.5,I love the organization and they seem to sincerely appreciate it.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Female,55 - 64,"$90,000 - $99,999",4 year degree,Control
ASPCA,No,0,NA,0,NA,I already donate regularly,No,Disagree,2,Strongly disagree,1,2021,2,nonloyal,25,25,Female,18 - 24,"Less than $10,000",Some college,Control
Nature Conservancy,No,0,NA,0,NA,I gave recently,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,55 - 64,"$80,000 - $89,999",4 year degree,Treatment
Scouts BSA,Yes,1,0.5,0.5,I believe in the program and what it does,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,300,300,Male,45 - 54,"$100,000 - $149,999",4 year degree,Treatment
water.org,Yes,1,0.5,0.5,because giving is a good idea,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Female,35 - 44,"Less than $10,000",Some college,Treatment
Best Friends,No,0,NA,0,NA,I want the incentive for myself. I already donated a great deal to Best Friends recently.,No,Neither agree nor disagree,3,Disagree,2,2021,3,loyal,150,150,Male,35 - 44,"$80,000 - $89,999",Doctorate,Treatment
aspca,No,0,NA,0,NA,such a small amount,No,Agree,4,Neither agree nor disagree,3,2021,3,loyal,20,20,Female,35 - 44,"Less than $10,000",High school graduate,Treatment
feed the children,Yes,1,0.5,0.5,"Children need to eat. It's a horrible thing to be hungry, especially a child that doesn't understand.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,unknown,NA,Female,55 - 64,"$30,000 - $39,999",Some college,Control
Amnesty International,No,0,NA,0,NA,I prefer to write a check myself out of my own funds.,Yes,Strongly agree,5,Strongly disagree,1,2021,5,loyal,80,80,Male,65 - 74,"$50,000 - $59,999",Professional degree,Control
ST JUDES,Yes,1,0.3,0.3,BECAUSE THEIR CAUSE IS SO WORTH IT BECAUSE THEY ARE MAKING ADVANCEMENTS THAT ARE SAVING CHILDREN'S LIVES,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Female,45 - 54,"$20,000 - $29,999",2 year degree,Treatment
Goodwill,Yes,1,0.5,0.5,Because I have seen the good work that they do in the community helping those that have fallen on hard times and need a hand to get their life back.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,50,50,Female,45 - 54,"$30,000 - $39,999",Some college,Control
Animal Legal Defense Fund,No,0,NA,0,NA,I'll do it in my free time.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,35 - 44,"Less than $10,000",2 year degree,Control
Daystar,No,0,NA,0,NA,It would take away from earnings and I already give automatically every month,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,60,60,Female,55 - 64,"Less than $10,000",High school graduate,Treatment
st vincent,Yes,1,0.5,0.5,they need the help,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,25 - 34,"$50,000 - $59,999",4 year degree,Control
Phoebe's Home,Yes,1,0.5,0.5,It's .50 cents only and as someone who used to volunteer there I know they need every cent,NA,NA,Neither agree nor disagree,3,Strongly disagree,1,2021,2,nonloyal,2,2,Female,18 - 24,"$30,000 - $39,999",4 year degree,Treatment
Big Bones Canine Rescue,No,0,NA,0,NA,Because I just gave them $50 a couple of months ago.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,35 - 44,"Less than $10,000",4 year degree,Control
Nature Conservancy,No,0,NA,0,NA,I prefer to make donations in a tax deductible way.,No,Agree,4,Neither agree nor disagree,3,2021,5,loyal,75,75,Male,45 - 54,"More than $150,000",Doctorate,Treatment
Feeding America,Yes,1,0.5,0.5,Feeding America has a good mission,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,100,100,Male,45 - 54,"$70,000 - $79,999",Some college,Control
Michael J. Fox Foundation,No,0,NA,0,NA,"I have given a few times to them in the past few years, plus we are very financially strapped nowadays. Also, I prefer to give without prompting. I don't care for letters like this that then include a donation form/request.",No,Agree,4,Disagree,2,2021,3,loyal,50,50,Female,45 - 54,"$40,000 - $49,999",4 year degree,Treatment
church,No,0,NA,0,NA,we give weekly on our own,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,3000,3000,Female,35 - 44,"$50,000 - $59,999",4 year degree,Control
Music Maker Relief Foundation,No,0,NA,0,NA,The small amount from the study participation seems trivial compared to my usual giving amount and could be perceived as insulting.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,250,250,Male,35 - 44,"$60,000 - $69,999",4 year degree,Control
save the redwoods league,Yes,1,0.5,0.5,the redwoods are irreplaceable - and we have been responsible for their decline (esp the climate change powered fires) - i want my granddaughter to be able to enjoy them,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Male,65 - 74,"More than $150,000",4 year degree,Treatment
Salvation army,Yes,1,0.5,0.5,To help people.,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,3,2021,5,loyal,I don't remember.,NA,Male,35 - 44,"$70,000 - $79,999",4 year degree,Treatment
Soup Kitchen,Yes,1,0.5,0.5,They need it more than I do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,12500,12500,Male,35 - 44,"$100,000 - $149,999",Some college,Treatment
Church,No,0,NA,0,NA,I give to them monthly already,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,4000,4000,Female,55 - 64,"$30,000 - $39,999",Professional degree,Treatment
Sarcoma Foundation of America,Yes,1,0.5,0.5,It's my favorite charity atm.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,25,25,Female,18 - 24,"Less than $10,000",High school graduate,Treatment
Feeding America,Yes,1,0.3,0.3,It's an important charity that actually makes an impact,NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,20,20,Male,25 - 34,"Less than $10,000",High school graduate,Treatment
Dana Farber Institute,No,0,NA,0,NA,I donated to them yesterday.,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Female,25 - 34,"$90,000 - $99,999",4 year degree,Treatment
World Food Program,Yes,1,0.2,0.2,I strongly support the mission of the World Food Program.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Female,35 - 44,"$20,000 - $29,999",Some college,Control
Team Rubicon,Yes,1,0.5,0.5,they do good work for veterans,NA,NA,Strongly agree,5,Strongly disagree,1,2021,4,loyal,200,200,Male,35 - 44,"$60,000 - $69,999",4 year degree,Control
san diego food bank,Yes,1,0.3,0.3,I believe in their service,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,a lot,NA,Female,25 - 34,"$10,000 - $19,999",4 year degree,Treatment
Native American Youth and Family Center,Yes,1,0.5,0.5,"They need it more than I do, will be sending a real donation over later today, thank you for the reminder to give",NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,50,50,Male,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
No kid hungry,Yes,1,0.1,0.1,Because i trust that charity and I think the kids deserve it.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,500,500,Female,25 - 34,"$40,000 - $49,999",Some college,Control
Transgender Education Network of Texas,Yes,1,0.2,0.2,"Because i am a transgender person who had a rough time in school over my condition and want education in schools to be better, both for the student and the educators.",NA,NA,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,100,100,Non-binary/third gender,45 - 54,"Less than $10,000",High school graduate,Control
Sexual Assault Center of Middle TN,Yes,1,0.5,0.5,The work done by this organization is critical,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,20,20,Male,25 - 34,"$50,000 - $59,999",Professional degree,Control
Compassion,Yes,1,0.5,0.5,I want to help the kids,NA,NA,Agree,4,Neither agree nor disagree,3,2021,2,nonloyal,600,600,Female,25 - 34,"More than $150,000",2 year degree,Control
Note in the Pocket,Yes,1,0.5,0.5,Because the money goes to a great cause!,NA,NA,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,50,50,Female,18 - 24,"$60,000 - $69,999",Some college,Control
Operation Christmas Child,No,0,NA,0,NA,I give when I feel led to not when I feel pressured.,No,Strongly agree,5,Disagree,2,2021,3,loyal,25,25,Female,35 - 44,"$30,000 - $39,999",4 year degree,Treatment
Oregon Humane Society,Yes,1,0.5,0.5,Why not! They do great work,NA,NA,Strongly agree,5,Disagree,2,2020,3,nonloyal,20,20,Female,18 - 24,"$100,000 - $149,999",Some college,Control
St. Jude,No,0,NA,0,NA,My financial status does not allow me to give at this time.,No,Strongly agree,5,Disagree,2,2021,3,loyal,100,100,Female,35 - 44,"$20,000 - $29,999",2 year degree,Treatment
Central Foodbank of Illinois,No,0,NA,0,NA,I need the money at the moment for the exact same reasoning,No,Strongly agree,5,Neither agree nor disagree,3,2018,2,nonloyal,20,20,Male,25 - 34,"$40,000 - $49,999",4 year degree,Control
Girls Who Code,Yes,1,0.5,0.5,Gratitude helps connect me to the cause.,NA,NA,Strongly agree,5,Disagree,2,2021,2,nonloyal,200,200,Male,35 - 44,"$50,000 - $59,999",4 year degree,Control
Red Cross,Yes,1,0.3,0.3,Because it would help a worthy cause.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Male,25 - 34,"$70,000 - $79,999",4 year degree,Control
Michigan Humane Society,Yes,1,0.5,0.5,it goes to a good use,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,$50-100,75,Male,35 - 44,"$60,000 - $69,999",4 year degree,Control
American Cancer Society,No,0,NA,0,NA,I already give,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,25,25,Male,65 - 74,"$90,000 - $99,999",Professional degree,Treatment
Charity: Water,Yes,1,0.5,0.5,Because Charity: Water provides access to a life-giving resource around the world,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Female,35 - 44,"$40,000 - $49,999",4 year degree,Treatment
"Southeastern Guide Dogs, Inc.",No,0,NA,0,NA,I do my donation once per year,No,Agree,4,Neither agree nor disagree,3,2021,1,nonloyal,500,500,Male,55 - 64,"More than $150,000",Professional degree,Treatment
With God's Grace,No,0,NA,0,NA,The amount that I would be donating is very minimal and not worth the effort and I don't think you will really donate to it since it is a community charity.,No,Strongly agree,5,Disagree,2,2021,1,nonloyal,600,600,Female,55 - 64,"Less than $10,000",4 year degree,Control
Samaritan's Purse,Yes,1,0.5,0.5,Samaritan's purse will use it well,NA,NA,Strongly agree,5,Strongly disagree,1,2020,4,nonloyal,50,50,Male,35 - 44,"$50,000 - $59,999",2 year degree,Treatment
project say something,No,0,NA,0,NA,i'd rather keep the money,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,25 - 34,"$30,000 - $39,999",Some college,Control
NNAF,No,0,NA,0,NA,I already have a recurring donation with them,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,180,180,Female,25 - 34,"$70,000 - $79,999",4 year degree,Control
Oregon Humane Society,No,0,NA,0,NA,because I make my own tax-deductible donations... not a small fraction of my 70 cent payment for this survey. weird.,No,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,50,50,Female,25 - 34,"$60,000 - $69,999",Some college,Treatment
St. Jude Children's Hospital,Yes,1,0.5,0.5,I enjoy donating to St. Jude Children's Hospital as they treat children and the money would be more well used by giving it to this charity.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,20,20,Male,25 - 34,"$90,000 - $99,999",4 year degree,Treatment
Feed My Starving Children,Yes,1,0.5,0.5,They deserve a lot of help! Their program is amazing,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,25 - 34,"$60,000 - $69,999",4 year degree,Control
Star of Hope,No,0,NA,0,NA,I don't feel it would be enough to make much of an impact.,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Female,25 - 34,"$30,000 - $39,999",4 year degree,Control
boston childrens hospital,Yes,1,0.5,0.5,they do amazing care for children i have a grandson who gets his medical there at the hospital,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,65 - 74,"$80,000 - $89,999",2 year degree,Control
The Jane Fund,Yes,1,0.5,0.5,because I believe in their cause,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,150,150,Female,35 - 44,"$80,000 - $89,999",4 year degree,Treatment
LDS Church,Yes,1,0.5,0.5,Because I trust that they will use my money wisely.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,300,300,Male,35 - 44,"$60,000 - $69,999",4 year degree,Control
ASPCA,Yes,1,0.5,0.5,I want to support a charity like this again,NA,NA,Agree,4,Disagree,2,2021,3,loyal,20,20,Male,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
Red Cross,No,0,NA,0,NA,I've already given recently,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Male,45 - 54,"$10,000 - $19,999",High school graduate,Treatment
Cat Welfare,No,0,NA,0,NA,I have already donated my desired amount to the charity.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,Not answering,NA,Male,55 - 64,"$30,000 - $39,999",4 year degree,Treatment
Texas Coalition for Animal Protection,Yes,1,0.1,0.1,I like TCAP and their mission,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Female,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
st judes hospital,Yes,1,0.5,0.5,"it's essentially free money and the hospital could benefit from it more than i would, even if it is less than a dollar",NA,NA,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,25,25,Female,18 - 24,"$10,000 - $19,999",Some college,Treatment
Seattle Symphony,Yes,1,0.5,0.5,My wife works there.,NA,NA,Strongly agree,5,Disagree,2,2021,1,nonloyal,20,20,Male,45 - 54,"$90,000 - $99,999",4 year degree,Control
Feeding America,Yes,1,0.3,0.3,To help people,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,200,200,Female,25 - 34,"$70,000 - $79,999",4 year degree,Control
